# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	396
#@/user_id	f9a10588-a24c-4f10-87a6-4376768506f6
a 	啊	c=4 d=1.73978 t=396
mei sha 	沒啥	c=1 d=0.955997 t=396
mei you 	沒有	c=1 d=0.985112 t=396
mo ren shi 	默認是	c=1 d=0.843665 t=396
na 	那	c=1 d=1 t=343
na jiao 	那叫	c=1 d=1 t=292
na me 	那麼	c=2 d=1.91851 t=237
na qu 	拿取	c=2 d=1.99501 t=389
ne 	呢	c=1 d=1 t=280
nei 	內	c=1 d=1 t=325
nei cun 	內存	c=1 d=1 t=366
neng bu neng 	能不能	c=1 d=0.891366 t=396
ni 	你	c=1 d=1 t=291
ni hao hao 	你好好	c=1 d=1 t=181
ni you ma 	你有嗎	c=1 d=1 t=290
nong 	農	c=1 d=1 t=309
pan 	盤	c=1 d=1 t=105
qi 	其	c=2 d=1.38289 t=352
qi ta 	其他	c=1 d=1 t=349
qian yi 	佥议	c=1 d=1 t=359
qian yi 	遷移	c=1 d=1 t=369
qing kuang 	情況	c=4 d=2.95061 t=236
qu bie 	區別	c=1 d=0.99005 t=396
quan pin 	全拼	c=1 d=0.860708 t=396
ren 	人	c=2 d=1.64404 t=310
ru guo 	如果	c=4 d=2.64466 t=311
ru lai 	如来	c=1 d=1 t=304
sha 	啥	c=1 d=0.852144 t=396
shen me 	什麼	c=1 d=1 t=376
shi 	是	c=8 d=3.81317 t=375
shi 	時	c=1 d=0.401194 t=381
shi bu shi 	是不是	c=2 d=1.27943 t=312
shi shen me 	是什麼	c=1 d=1 t=281
shi xiao 	失效	c=1 d=1 t=51
shu 	樹	c=1 d=1 t=306
shu fu 	舒服	c=2 d=1.98511 t=94
shu ju 	數據	c=4 d=2.30852 t=357
shu ju ye 	數據頁	c=2 d=1.63128 t=214
shua 	刷	c=1 d=1 t=244
shua pan 	刷盤	c=3 d=2.91316 t=277
shua zang 	刷髒	c=1 d=1 t=212
shui 	水	c=1 d=1 t=268
shuo shi hua 	說實話	c=1 d=1 t=49
sui bian 	隨便	c=1 d=1 t=367
suo yi 	所以	c=1 d=1 t=358
suo yin 	索引	c=5 d=4.17561 t=386
suo you 	所有	c=3 d=2.27588 t=338
ta 	他	c=1 d=1 t=297
ta men 	他們	c=1 d=1 t=221
tai qian 	臺前	c=1 d=1 t=318
ti jiao 	提交	c=2 d=1.90032 t=216
tian 	天	c=1 d=1 t=284
tong ji 	統計	c=3 d=2.9415 t=333
tong shi 	同時	c=2 d=1.28365 t=368
wan 	玩	c=1 d=1 t=182
wei 	未	c=2 d=1.74826 t=197
wei 	爲	c=2 d=1.72615 t=198
wei le 	爲了	c=1 d=1 t=130
wei sha 	爲啥	c=1 d=1 t=52
wei shen me 	爲什麼	c=1 d=1 t=119
wo bu shi 	我不是	c=1 d=1 t=308
wu fa 	無法	c=2 d=1.96079 t=158
xia 	下	c=1 d=1 t=201
xian yu 	先於	c=2 d=1.7827 t=239
xian zai 	現在	c=1 d=1 t=302
xiang 	像	c=1 d=1 t=301
xiao 	小	c=1 d=1 t=362
xiao lv 	效率	c=1 d=1 t=371
xiao xin 	小心	c=1 d=1 t=265
xie 	寫	c=1 d=1 t=179
xin 	新	c=2 d=1.97531 t=152
xin de 	新的	c=2 d=1.89137 t=177
xu yao 	需要	c=3 d=2.11193 t=387
xuan ci 	選詞	c=1 d=0.895834 t=396
ya 	呀	c=1 d=1 t=348
yang 	樣	c=1 d=0.918512 t=396
ye 	也	c=1 d=0.878095 t=396
ye 	頁	c=4 d=3.36559 t=189
ye hui 	也會	c=1 d=1 t=372
ye jiu 	也就	c=1 d=1 t=171
yi ding hui 	一定會	c=1 d=1 t=315
yi jing 	已經	c=7 d=4.83304 t=276
yi tian 	一天	c=0 d=0.1 t=288
yi tian le 	一天了	c=1 d=1 t=289
yi xie 	一些	c=1 d=1 t=374
yin wei 	因爲	c=2 d=1.7827 t=206
ying gai 	應該	c=1 d=1 t=202
yong 	用	c=1 d=0.83527 t=396
you 	有	c=3 d=1.86481 t=396
yu 	雨	c=1 d=1 t=269
yuan zi xing 	原子性	c=1 d=1 t=341
za 	咋	c=3 d=2.24538 t=294
za hai 	咋還	c=1 d=1 t=64
zang 	髒	c=3 d=2.64715 t=188
zang ye 	髒頁	c=3 d=2.78363 t=246
zao cheng 	造成	c=1 d=1 t=365
zen me 	怎麼	c=4 d=1.64351 t=396
zhan yong 	佔用	c=1 d=1 t=360
zhao yong 	照用	c=1 d=0.831104 t=396
zhe 	這	c=3 d=2.78 t=396
zhe bu 	這部	c=0 d=0.0852144 t=396
zhe bu jiu shi 	這部就是	c=1 d=0.856415 t=396
zhe bu shi 	這不是	c=0 d=0.0960789 t=396
zhe bu shi hen hao 	這不是很好	c=1 d=0.965605 t=396
zhe dian 	這點	c=0 d=0.1 t=182
zhe ge 	這個	c=1 d=1 t=251
zhe hai shi 	這還是	c=1 d=0.980199 t=396
zhe shi 	這是	c=1 d=0.904837 t=396
zhe yang 	這樣	c=3 d=0.865022 t=396
zhe zhong 	這種	c=2 d=1.40454 t=235
zhe zhong qing kuang 	這種情況	c=1 d=1 t=205
zhi dao 	知道	c=1 d=1 t=273
zhi xing 	執行	c=1 d=1 t=151
zhi you 	只有	c=1 d=1 t=379
zhong 	中	c=3 d=2.19554 t=208
zhong wen 	中文	c=1 d=1 t=326
zhong yu 	終於	c=1 d=1 t=87
zhuang tai 	狀態	c=1 d=1 t=305
zhui zong 	追蹤	c=2 d=1.99501 t=260
zhun que 	準確	c=1 d=1 t=298
zi duan 	字段	c=2 d=1.66698 t=395
zi ran 	自然	c=1 d=1 t=224
zi shu 	字數	c=4 d=3.90207 t=331
zi zeng 	自增	c=1 d=1 t=346
